이름	비밀번호	직급	주민번호	입사일자
정준석	S1234	대리	861219-1******	2010-03-01
강장환	V1265R	대리	871014-1******	2010-03-01
신동숙	V292S	사원	910119-2******	2014-12-01
이창명	P5861X	대리	860320-1******	2011-09-01
채경휘	D2678Q	대리	860608-1******	2012-03-01
김길수	S2802F	부장	620119-1******	1985-05-15
정호돌	E1123V	과장	740415-1******	1997-09-01
최현우	U3336A	이사	631025-2******	1995-04-01
노찬종	U387H	부장	650315-1******	1999-09-01
주청철	E4274H	차장	670725-2******	1999-03-01
김호식	E7426K	차장	681105-2******	1997-03-01
최영철	F2589D	부장	701225-1******	2000-03-01
황대산	F2994V	차장	660101-2******	1993-03-01
이상건	G4980K	과장	730228-2******	1996-09-01
정태호	G9531E	과장	761010-1******	1999-09-01
김하늘	W294S	과장	740926-1******	2000-03-01
정호김	H5774S	과장	750511-2******	2001-03-01
