고객번호	보험상품	가입금액	가입일	월보험료	담당자
S131978	종신보험	50000000	2009-10-12	134000	채경휘
S131978	종신보험	50000000	2009-10-12	134000	채경휘
S131980	종신보험	70000000	2012-01-30	201400	김길수
S131980	변액연금보험	70000000	2012-07-28	98000	최영철
S131981	종신보험	50000000	2012-01-30	134000	정호돌
S131981	연금보험	80000000	2012-09-26	159000	정태호
S131986	의료실비보험	30000000	2014-02-18	25200	정태호
S131986	변액연금보험	30000000	2012-01-30	98000	강장환
S131989	연금보험	100000000	2012-01-30	378000	이창명
S131989	무배당암보험	20000000	2012-01-30	434500	최영철
S131989	변액연금보험	30000000	2012-01-30	98000	김길수
S131989	종신보험	250000000	2012-07-28	340000	최영철
S131989	의료실비보험	30000000	2014-02-18	25200	이상건
S131989	무배당암보험	30000000	2012-09-26	49800	채경휘
S131997	종신보험	50000000	2012-09-26	120000	최현우
S131997	무배당암보험	150000000	2009-10-12	244000	김하늘
S131999	무배당암보험	20000000	2010-10-07	23800	노찬종
S131999	종신보험	20000000	2013-09-21	34500	정호김
S132001	변액연금보험	30000000	2012-09-26	89000	주청철
S132001	여성건강보험	10000000	2014-02-18	43200	최영철
S132006	연금보험	70000000	2011-08-03	167000	신동숙
S132006	변액연금보험	50000000	2012-09-26	170000	김호식
S132008	연금보험	70000000	2010-09-07	158000	강장환
S132008	무배당암보험	30000000	2014-07-18	38900	주청철
S141988	의료실비보험	30000000	2012-09-26	38340	이상건
S141988	종신보험	70000000	2014-05-19	124700	김하늘
S141989	여성건강보험	30000000	2013-01-24	71450	황대산
S141989	의료실비보험	20000000	2014-02-18	24500	정태호
S141994	의료실비보험	70000000	2014-05-19	124700	정호김
S141994	종신보험	50000000	2011-04-05	124000	이창명
S142003	의료실비보험	20000000	2014-02-18	24500	김하늘
S142003	연금보험	100000000	2012-11-25	254000	신동숙
S142007	연금보험	50000000	2009-10-12	95600	정준석
S142007	무배당암보험	30000000	2012-09-26	49800	노찬종
S142013	연금보험	100000000	2012-11-25	254000	정호돌
S142013	무배당암보험	30000000	2014-07-18	38900	김길수
S142014	종신보험	50000000	2011-04-05	124000	최현우
S142014	변액연금보험	50000000	2012-09-26	170000	정호돌
S142016	종신보험	55000000	2013-06-23	112100	김호식
S142016	의료실비보험	30000000	2012-09-26	38340	황대산
