번호	성명	생년월일	연락처	주소	회사
S131978	이혜신	1970-03-05	051-321-5949	부산시 해운대구	신세계상사
S131980	오유나	1965-07-08	051-383-4815	부산시 북구	삼미상사
S131981	유준상	1959-03-19	051-355-6344	부산시 남구	관악유통
S131986	한상민	1972-08-06	010-5214-0414	부산시 해운대구	한빛유통
S131987	차윤식	1973-10-06	051-508-8029	부산시 남구	백두무역
S131988	박영옥	1975-07-07	051-214-3454	부산시 남구	서희무역
S131989	박형준	1966-10-13	011-123-1234	양산시 교동	백두무역
S131997	한영우	1975-12-10	010-1578-4228	부산시 부산진구	대진상사
S131999	한혜정	1975-01-23	051-227-4581	부산시 남구	한빛유통
S132001	이남주	1974-11-16	051-540-6425	부산시 해운대구	아틀란티스통상
S132006	김영식	1971-09-26	051-801-7627	부산시 부산진구	은하수유통
S132008	이형운	1971-08-29	010-333-1111	부산시 강서구	왕성교역
S141988	김현필	1979-05-04	051-913-2914	부산시 남구	태평유통
S141989	윤다인	1977-11-01	051-123-4567	부산시 동구	남해유통
S141994	권우진	1976-07-11	010-123-4567	부산시 부산진구	나라백화점
S142003	조시현	1976-01-26	051-333-1234	부산시 동구	신세기상사
S142007	오상석	1977-10-20	051-223-1234	부산시 수영구	한일상사
S142013	김성준	1976-09-28	010-6456-4567	울산시 중구	글로벌통상
S142014	이승현	1976-09-29	051-223-4321	울산시 동구	관악유통
S142016	천진희	1978-12-26	010-1132-4628	부산시 북구	상도무역
